smiles,pKi
C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F,9.048
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(cc13)c4ccccc4C,7.398
COC(=O)C(C)(C)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,7.462
CCCCN1N=C(S/C/1=N\C(=O)c2cc(ccc2CN3CC(O)C3)C(F)(F)F)C(C)(C)C,8.788
CC1(C)C(C(=O)c2cn(CCc3ccccn3)c4ccccc24)C1(C)C,7.164
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)c4ccccc4,6.996
Cc1c(nc(c2ccc(Cl)cc2)n1c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4,6.682
CCc1ccccc1NC(=O)CSc2nnc(c3ccccc3OC)n2c4ccccc4,8.678
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4cccc(O)c24)C1(C)C,8.410
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(cc13)c4occc4,8.021
CCCCN1C(=C(C)C=C(NC(=O)c2cccc(C)c2)C1=O)C,6.921
Cc1ccc(CN2N=C(C=C(C(=O)NC3CCCCC3)C2=O)c4ccc(Cl)c(C)c4)cc1,6.620
CCCCCCC(C)(C)c1ccc(cc1)[C@@H]2C[C@H](O)CC[C@H]2CCCO,6.623
CCCCC1=NN(C(=O)N[C@H]2C[C@H]3CC[C@]2(C)C3(C)C)C(C)(C)C1c4ccccc4,8.469
CCCCCCC(C)(C)c1ccc(c(O)c1)c2cc(C)cc(C)c2,8.638
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)N[C@H](C)CO)c1,7.012
CCCCC1(CCCCC1)c2cc(O)c3C=C(Cc4ccccc4O)C(=O)Oc3c2,7.310
CCCCN1C=CC=C(C(=O)NC2CCC(C)CC2)C1=O,6.983
CCCCCN1C=C(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)C(=O)C=C1C,8.194
CCCCC1=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(Br)ccc5N1,5.928
O=C(N\N=C\1/C(=O)N(CCC2CCCCC2)c3ccccc13)c4ccccc4,7.231
OC(=O)Cc1ccccc1NC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCCC4)C2=O,7.337
COc1ccc(cc1)c2cc(C)c(OC)c(c2)C(=O)NC3CCCCCC3,5.562
Clc1ccc(cc1)N2C[C@@H](CC[C@H]2c3ccc(Cl)cc3Cl)C(=O)NC4CCC4,5.859
CN1CCC[C@H]1COc2ccc(cc2C(=O)\N=C\3/SC(=CN3CC4(O)CCC4)C(C)(C)C)C(F)(F)F,7.022
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4cc(O)c(O)cc24)C1(C)C,7.673
COc1cc(cc(OC)c1c2cc(C)cc(C)c2)C(=O)O,5.000
CCCCCn1c(C)c(C(=O)Cc2ccccc2)c3ccccc13,6.744
O=C(Cc1c[nH]c2ccc(cc12)c3ccccc3)NC45CC6CC(CC(C6)C4)C5,7.150
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)c3c(nn(C)c13)c4ccc(Cl)cc4,5.441
CCCCCn1cc(C(=O)c2c(OC)ccc3ccccc23)c4ccccc14,8.143
Cc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)Cc3ccc(CC=C)cc3,6.886
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)C=C1C,7.613
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3cccc3)C(=O)NCc4ccc(Cl)cc4,7.000
CCCCCCC(C)(C)c1cc(O)c2c(OC(=O)c3ccc(O)cc23)c1,9.086
CCCCCN1C(=O)C(=Cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,9.699
CCCCCN1C(=O)C(=Cc2cccnc12)C(=O)NC3CCC(C)CC3,8.550
Cc1cc(ccc1Cl)C2=NN(Cc3ccc(F)cc3)C(=O)C(=C2)C(=O)NCCN4CCOCC4,6.507
Cl.CCN1CCN(CC1)c2nc(C)nc3[nH]c(nc23)c4ccccc4Cl,7.801
CCOc1ccc(Nc2nc3cc(ccc3n2CCN4CCCCC4)C(=O)N(CC)CC)cc1,4.983
CCCCN1\C(=N\C(=O)c2cc(ccc2OCCC(C)(C)O)C(F)(F)F)\Sc3ccncc13,7.456
O=C(c1cc2ccccc2s1)c3cccc4ccccc34,6.000
CCCCN1C=C(C=C/C/1=N\C(=O)c2cc(ccc2ONC(C)(C)C)C(F)(F)F)C(C)(C)C,7.056
O=C(C1=CN(CCC2CCCCC2)c3ccccc3C1=O)c4cccc5ccccc45,5.777
CC1(C)C(C(=O)c2cn(Cc3cccnc3)c4ccccc24)C1(C)C,7.521
CCCCCOc1nn(CCCCC)c2ccc(cc12)[N+](=O)[O-],6.167
Cc1cc(ccc1Cl)C2=NN(Cc3ccc(F)cc3)C(=O)C(=C2)C(=O)N[C@H]4[C@@]5(C)CC[C@H](C5)C4(C)C,8.585
Cn1ccnc1CCn2cc(C(=O)C3C(C)(C)C3(C)C)c4ccccc24,6.803
COc1cc(C)cc2OC(=O)C(=Cc12)Cc3ccc(C)cc3,5.322
O=C(NC12CC3CC(CC(C3)C1)C2)C4=CN5C(COc6cccc(C4=O)c56)c7ccccc7,7.848
CCC1(CC1)C(=O)Nc2cc(CN3CCOCC3)c(C)cn2,7.201
CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3cccc4nonc34,9.046
Clc1ccc(C(N2CCN(CC2)C(=O)NN3CCCCC3)c4ccccc4)c(Cl)c1,5.982
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccc(Cl)cc15,8.276
CC(C)(C)[C@H](NC(=O)N1C(=O)N(CC2CCCO2)c3ccccc13)C(=O)N,8.222
CC1CCC(CC1)NC(=O)C2=Cc3ccccc3N(CCCO)C2=O,7.444
CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3cccc(c3)C(C)C,8.602
